"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2019";"2009-2019";"Total since 2005"
"AT";"Filmladen";"27/01/2006";"";"45 958";"";"44";"";"";"";"";"";"";"";"";"";"46 002"
"BE";"Cineart (BE)";"21/12/2005";"28 651";"170 077";"2 807";"346";"";"";"";"";"";"";"";"";"";"201 881"
"CH";"Elite Film";"24/11/2005";"39 784";"59 330";"123";"";"";"";"87";"";"";"";"";"129";"216";"99 453"
"CZ";"Bioscop/Magic Box";"27/04/2006";"";"8 527";"339";"307";"55";"74";"";"";"";"";"";"";"129";"9 302"
"DE";"StudioCanal (DE)";"12/01/2006";"";"557 850";"1 779";"367";"";"";"";"63";"";"91";"";"";"154";"560 150"
"DK";"Sandrew Metronome (DK)";"16/09/2005";"85 553";"1 166";"";"42";"";"";"";"";"";"";"";"";"";"86 761"
"EE";"Tallinnfilm (EE)";"24/01/2006";"";"2 259";"61";"102";"";"";"";"";"";"";"";"";"";"2 422"
"ES";"Universal Pictures Int'l Spain";"04/11/2005";"960 044";"274 861";"4";"";"";"11";"";"";"";"";"";"";"11";"1 234 920"
"FI";"Sandrew Metronome Distribution";"28/10/2005";"13 088";"4 823";"31";"24";"";"";"";"";"";"";"";"";"";"17 966"
"FR";"StudioCanal (FR)";"28/12/2005";"121 675";"488 919";"";"";"";"";"";"";"";"";"";"";"";"610 594"
"GB";"UIP (GB)";"11/11/2005";"1 005 409";"311 229";"";"";"";"";"";"";"32";"";"48";"";"80";"1 316 718"
"GR";"Odeon (GR)";"27/10/2005";"137 035";"37 046";"632";"";"";"";"";"";"";"";"";"";"";"174 713"
"HU";"SPI Hungary";"19/01/2006";"";"23 976";"";"";"";"";"";"";"";"";"";"";"";"23 976"
"IS";"";"";"";"3 501";"";"";"";"";"";"";"";"";"";"";"";"3 501"
"IT";"Bim Distribuzione";"03/03/2006";"";"190 465";"518";"";"";"";"";"";"";"";"";"";"";"190 983"
"LU";"Cineart (LU)";"30/12/2005";"";"11 754";"";"";"";"";"";"";"";"";"";"";"";"11 754"
"LV";"Acme (LV)";"16/12/2005";"3 017";"3 608";"";"";"";"";"";"";"";"";"";"";"";"6 625"
"NL";"A-Film (NL)";"17/11/2005";"49 970";"51 589";"1 019";"73";"";"60";"74";"";"";"";"";"";"134";"102 785"
"NO";"Sandrew Metronome (NO)";"21/10/2005";"34 117";"5 202";"";"";"";"26";"";"";"";"";"";"";"26";"39 345"
"PL";"Monolith/SPI";"21/10/2005";"118 194";"17 294";"386";"221";"";"";"";"";"";"";"";"";"";"136 095"
"PT";"LNK Audiovisuais";"03/11/2005";"101 329";"";"";"192";"";"";"";"";"";"";"";"";"";"101 521"
"RO";"Pro Video";"30/12/2005";"1 033";"11 020";"";"";"";"";"";"";"";"";"";"";"";"12 053"
"SE";"Sandrew Metronome";"11/11/2005";"55 240";"21 293";"";"";"";"";"";"";"";"";"";"";"";"76 533"
"SI";"Cinemania Group";"29/12/2005";"1 126";"15 273";"";"";"";"";"";"";"";"";"";"";"";"16 399"
"SK";"Magic Box Slovakia";"01/06/2006";"";"1 824";"";"";"";"";"";"";"";"";"";"";"";"1 824"
"TR";"Warner Bros. (TR)";"02/06/2006";"";"37 156";"";"";"";"";"";"";"";"";"";"";"";"37 156"
"EUR EU";"";"";"2 681 364";"2 250 811";"7 576";"1 718";"55";"145";"74";"63";"32";"91";"48";"";"508";"4 941 977"
"EUR OBS";"";"";"2 755 265";"2 356 000";"7 699";"1 718";"55";"171";"161";"63";"32";"91";"48";"129";"750";"5 121 432"
"US_CA";"";"";"5 238 657";"";"";"";"";"";"";"";"";"";"";"";"";"5 238 657"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23705"
