"Market";"Distributor";"Release date";"2004";"2005";"2006";"2008";"2012";"Total since 2004"
"AT";"Constantin Film (AT)";"09/04/2004";"54 851";"";"";"";"";"54 851"
"BE";"Cineart (BE)";"18/02/2004";"76 954";"98";"";"";"";"77 052"
"CZ";"SPI";"21/10/2004";"47 177";"2 846";"";"";"";"50 023"
"DE";"Tobis Film (DE)";"08/04/2004";"491 254";"3 279";"96";"";"";"494 629"
"EE";"Sonatiin";"08/10/2004";"1 968";"";"";"";"";"1 968"
"ES";"Vertigo Films (ES)";"16/04/2004";"101 365";"";"15";"";"2 103";"103 483"
"FR";"";"";"2 070 000";"";"";"";"";"2 070 000"
"HU";"SPI Hungary";"14/10/2004";"62 079";"734";"";"";"";"62 813"
"IS";"";"";"2 572";"";"";"";"";"2 572"
"IT";"Filmauro";"26/03/2004";"709 862";"60";"";"49";"";"709 971"
"LU";"";"";"5 573";"";"";"";"";"5 573"
"NL";"A-Film (NL)";"17/06/2004";"1 011";"";"";"";"";"1 011"
"PL";"";"";"118 807";"";"";"";"";"118 807"
"PT";"";"";"53 479";"";"";"";"";"53 479"
"RO";"New Films Intl.";"02/06/2006";"";"";"3 439";"";"";"3 439"
"SK";"SPI SK";"23/09/2004";"33 451";"528";"";"";"";"33 979"
"TR";"";"";"29 264";"";"";"";"";"29 264"
"EUR EU";"";"";"3 827 831";"7 545";"3 550";"49";"2 103";"3 841 078"
"EUR OBS";"";"";"3 859 667";"7 545";"3 550";"49";"2 103";"3 872 914"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2008, 2006, 2005, 2004"
" - film_id : 21954"
