"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2010";"2013";"2015";"2016";"2006-2016";"Total since 2002"
"AT";"";"";"7 675";"982";"";"";"";"";"";"";"";"";"";"";"8 657"
"BE";"";"";"70 717";"3 340";"929";"";"";"";"";"";"";"";"";"";"74 986"
"CH";"Pathé Films (CH)";"27/02/2002";"40 693";"";"";"";"";"";"";"";"35";"";"";"35";"40 728"
"DE";"Concorde Filmverleih";"30/05/2002";"98 174";"";"";"";"";"";"";"";"";"13";"";"13";"98 187"
"ES";"Wanda Vision";"09/01/2003";"";"178 642";"397";"372";"162";"43";"";"";"";"";"77";"282";"179 693"
"FR";"";"";"1 288 519";"3 205";"899";"";"";"";"";"";"";"";"";"";"1 292 623"
"GB";"";"";"9 205";"";"";"";"";"";"";"";"";"";"";"";"9 205"
"GR";"Prooptiki (GR)";"06/12/2002";"25 357";"17 733";"286";"270";"";"";"";"";"";"";"";"";"43 646"
"HU";"";"";"13 978";"6 874";"";"";"";"";"";"";"";"";"";"";"20 852"
"IT";"Mikado Film";"19/04/2002";"107 580";"";"640";"1 246";"42";"";"138";"1 043";"";"";"";"1 223";"110 689"
"LU";"";"";"5 093";"80";"";"";"";"";"";"";"";"";"";"";"5 173"
"NL";"";"";"";"2 671";"";"";"";"";"";"";"";"";"";"";"2 671"
"RO";"";"";"20 028";"";"";"";"";"";"";"";"";"";"";"";"20 028"
"TR";"Ozen Film";"17/01/2003";"";"26 615";"";"";"";"";"";"";"";"";"";"";"26 615"
"EUR EU";"";"";"1 646 326";"213 527";"3 151";"1 888";"204";"43";"138";"1 043";"";"13";"77";"1 518";"1 866 410"
"EUR OBS";"";"";"1 687 019";"240 142";"3 151";"1 888";"204";"43";"138";"1 043";"35";"13";"77";"1 553";"1 933 753"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2013, 2010, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18856"
