"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2007";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2001"
"AT";"";"";"1 968 535";"94 986";"1 844";"21";"";"";"";"";"";"";"";"";"";"2 065 386"
"CH";"Filmcoopi Zürich";"04/10/2001";"340 321";"22 448";"";"";"";"";"";"";"59";"";"";"";"59";"362 828"
"DE";"Constantin Film (DE)";"19/07/2001";"10 526 676";"1 134 507";"20 216";"37 761";"";"16";"849";"1 121";"573";"55";"1 352";"1 081";"5 047";"11 724 207"
"EE";"BDG Film";"30/08/2002";"";"1 227";"102";"";"";"";"";"";"";"";"";"";"";"1 329"
"ES";"";"";"";"29 193";"153";"";"";"";"";"";"";"";"";"";"";"29 346"
"HU";"";"";"";"54 835";"21";"";"";"";"";"";"";"";"";"";"";"54 856"
"LT";"Acme (LT)";"20/09/2002";"";"1 050";"";"";"";"";"";"";"";"";"";"";"";"1 050"
"LU";"";"";"19 550";"";"";"";"";"";"";"";"";"";"";"";"";"19 550"
"PL";"Monolith";"21/02/2003";"";"";"15 254";"";"55";"";"";"";"";"";"";"";"55";"15 309"
"TR";"";"";"";"";"12 870";"";"";"";"";"";"";"";"";"";"";"12 870"
"EUR EU";"";"";"12 514 761";"1 315 798";"37 590";"37 782";"55";"16";"849";"1 121";"573";"55";"1 352";"1 081";"5 102";"13 911 033"
"EUR OBS";"";"";"12 855 082";"1 338 246";"50 460";"37 782";"55";"16";"849";"1 121";"632";"55";"1 352";"1 081";"5 161";"14 286 731"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2007, 2004, 2003, 2002, 2001"
" - film_id : 17885"
