"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2013-2016";"Total since 2009"
"AT";"Universal Pictures (AT)";"06/02/2009";"121 024";"";"";"";"";"";"";"";"";"121 024"
"BE";"UPI (BE)";"18/02/2009";"148 200";"";"";"";"";"";"";"";"";"148 200"
"CH";"UIP (CH)";"04/02/2009";"83 215";"";"";"";"";"";"";"";"";"83 215"
"CZ";"Bontonfilm";"16/04/2009";"12 232";"182";"40";"";"";"";"";"";"";"12 454"
"DE";"Paramount (DE)";"05/02/2009";"532 738";"";"";"";"";"79";"";"";"79";"532 817"
"DK";"UIP (DK)";"30/01/2009";"53 996";"1 029";"";"";"";"";"";"";"";"55 025"
"EE";"Forum Cinemas (EE)";"06/03/2009";"8 399";"";"";"";"";"";"";"";"";"8 399"
"ES";"Paramount Spain";"13/03/2009";"293 759";"681";"";"";"";"85";"";"";"85";"294 525"
"FI";"Finnkino";"27/02/2009";"11 799";"";"";"";"";"";"";"";"";"11 799"
"FR";"Paramount Pictures (FR)";"18/02/2009";"245 256";"";"";"";"";"";"";"";"";"245 256"
"GB";"Paramount (GB)";"13/02/2009";"1 304 235";"21 046";"";"";"";"";"";"1";"1";"1 325 282"
"HR";"Blitz Film & Video Distribution (HR)";"12/03/2009";"20 193";"";"";"";"";"";"";"";"";"20 193"
"HU";"UIP-Dunafilm";"26/02/2009";"75 105";"";"";"";"";"";"";"";"";"75 105"
"IT";"Universal (IT)";"20/02/2009";"14 346";"163";"";"";"14";"";"";"";"14";"14 523"
"LV";"Forum Cinemas (LV)";"";"4 582";"";"";"";"";"";"";"";"";"4 582"
"NL";"Universal Pictures Int (NL)";"19/02/2009";"144 679";"";"";"";"";"";"";"";"";"144 679"
"NO";"UIP (NO)";"20/02/2009";"47 964";"140";"";"";"";"";"";"";"";"48 104"
"PL";"UIP (PL)";"20/02/2009";"151 842";"";"";"";"";"";"";"";"";"151 842"
"PT";"ZON Lusomundo Audiovisuais";"19/02/2009";"127 287";"420";"21";"39";"";"";"";"";"";"127 767"
"RO";"Ro-Image 2000";"27/02/2009";"19 577";"121";"";"";"";"";"";"";"";"19 698"
"SE";"UIP / Paramount";"20/02/2009";"40 997";"13";"";"";"";"";"";"";"";"41 010"
"SI";"Karantanija Cinemas";"12/03/2009";"15 267";"50";"";"";"";"";"61";"";"61";"15 378"
"SK";"Tatra Film";"16/04/2009";"3 705";"";"";"";"";"";"";"";"";"3 705"
"TR";"UIP (TR)";"13/03/2009";"64 880";"";"";"";"";"";"";"";"";"64 880"
"EUR EU";"";"";"3 349 218";"23 705";"61";"39";"14";"164";"61";"1";"240";"3 373 263"
"EUR OBS";"";"";"3 545 277";"23 845";"61";"39";"14";"164";"61";"1";"240";"3 569 462"
"US_CA";"Paramount Pictures (US)";"16/01/2009";"9 737 928";"";"";"";"";"";"";"";"";"9 737 928"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32226"
