"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Filmcasino & Polyfilm";"02/08/2013";"";"40 717";"1 898";"932";"";"";"";"";"";"";"43 547"
"CH";"Pathé Films (CH)";"16/01/2013";"";"9 972";"";"39";"";"";"";"";"";"";"10 011"
"CZ";"35 mm";"25/11/2012";"940";"6 038";"10";"168";"";"";"";"90";"";"90";"7 246"
"DE";"Neue Visionen";"18/07/2013";"";"509 030";"90 524";"4 529";"1 377";"1 305";"763";"381";"644";"4 470";"608 553"
"ES";"Savor Ediciones";"31/10/2013";"";"16 097";"1 862";"78";"";"";"";"";"";"";"18 037"
"FR";"Gaumont Distribution";"16/01/2013";"";"1 033 936";"";"";"";"";"";"";"";"";"1 033 936"
"GR";"Tanweer (GR)";"21/05/2015";"";"";"";"12 529";"";"";"";"";"";"";"12 529"
"IT";"Moviemax";"06/06/2013";"";"58 722";"179";"";"";"";"";"";"";"";"58 901"
"PL";"Aurora Films";"26/12/2013";"";"13 897";"15 501";"1 330";"";"";"";"";"";"";"30 728"
"PT";"NOS Lusomundo Audiovisuais (PT)";"18/04/2013";"";"67 929";"70";"";"";"";"";"";"316";"316";"68 315"
"RU";"Cinema Prestige";"30/05/2013";"";"7 768";"";"";"";"";"";"";"";"";"7 768"
"SI";"Cinemania Group";"23/05/2013";"";"1 299";"69";"";"";"";"";"";"";"";"1 368"
"SK";"Continental Film (SK)";"21/02/2013";"";"5 342";"";"";"";"";"";"9";"";"9";"5 351"
"EUR EU";"";"";"940";"1 753 007";"110 113";"19 566";"1 377";"1 305";"763";"480";"960";"4 885";"1 888 511"
"EUR OBS";"";"";"940";"1 770 747";"110 113";"19 605";"1 377";"1 305";"763";"480";"960";"4 885";"1 906 290"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 43258"
