"Market";"Distributor";"Release date";"2000";"2001";"2002";"2004";"2005";"2019";"2005-2019";"Total since 2000"
"AT";"";"";"";"54 396";"164";"";"";"";"";"54 560"
"BE";"";"";"156 860";"";"";"82 919";"";"";"";"239 779"
"BG";"";"";"";"23 021";"124";"";"";"";"";"23 145"
"CH";"";"";"68 455";"19 938";"";"35 731";"";"";"";"124 124"
"CY";"";"";"";"2 160";"";"";"";"";"";"2 160"
"CZ";"";"";"";"73 264";"";"";"";"";"";"73 264"
"DE";"Tobis Film (DE)";"19/04/2001";"";"819 246";"";"4 771";"";"";"";"824 017"
"DK";"";"";"";"17 015";"";"";"";"";"";"17 015"
"EE";"MPDE";"18/05/2001";"";"10 354";"";"";"";"";"";"10 354"
"ES";"";"";"";"435 483";"577";"992";"";"";"";"437 052"
"FR";"";"";"3 177 723";"39 271";"662";"3 868";"";"";"";"3 221 524"
"GB";"";"";"";"15 203";"";"";"";"";"";"15 203"
"GR";"Strada Films (GR)";"05/09/2019";"";"";"";"";"";"1 024";"1 024";"1 024"
"HU";"";"";"";"109 084";"";"";"";"";"";"109 084"
"IS";"";"";"";"5 367";"";"";"";"";"";"5 367"
"IT";"";"";"1 146 171";"8 806";"67";"";"";"";"";"1 155 044"
"LT";"";"";"";"11 928";"";"2 611";"";"";"";"14 539"
"LU";"";"";"9 650";"50";"";"";"";"";"";"9 700"
"PL";"SPI Poland";"08/01/2004";"";"";"";"";"1 071";"";"1 071";"1 071"
"RO";"";"";"";"";"414";"";"";"";"";"414"
"RU";"";"";"";"143 920";"";"";"";"";"";"143 920"
"SE";"";"";"";"48 253";"";"";"";"";"";"48 253"
"EUR EU";"";"";"4 490 404";"1 667 534";"2 008";"95 161";"1 071";"1 024";"2 095";"6 257 202"
"EUR OBS";"";"";"4 558 859";"1 836 759";"2 008";"130 892";"1 071";"1 024";"2 095";"6 530 613"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2005, 2004, 2002, 2001, 2000"
" - film_id : 15299"
